country	Population (2020)	Density (P/Km²)	Land Area (Km²)	Migrants (net)	Med. Age	Urban Pop %
China	1439323776	153	9388211	-348399	38	61
India	1380004385	464	2973190	-532687	28	35
US	331002651	36	9147420	954806	38	83
Indonesia	273523615	151	1811570	-98955	30	56
Pakistan	220892340	287	770880	-233379	23	35
Brazil	212559417	25	8358140	21200	33	88
Nigeria	206139589	226	910770	-60000	18	52
Bangladesh	164689383	1265	130170	-369501	28	39
Russia	145934462	9	16376870	182456	40	74
Mexico	128932753	66	1943950	-60000	29	84
Japan	126476461	347	364555	71560	48	92
Ethiopia	114963588	115	1000000	30000	19	21
Philippines	109581078	368	298170	-67152	26	47
Egypt	102334404	103	995450	-38033	25	43
Vietnam	97338579	314	310070	-80000	32	38
DR Congo	89561403	40	2267050	23861	17	46
Turkey	84339067	110	769630	283922	32	76
Iran	83992949	52	1628550	-55000	32	76
Germany	83783942	240	348560	543822	46	76
Thailand	69799978	137	510890	19444	40	51
United Kingdom	67886011	281	241930	260650	40	83
France	65273511	119	547557	36527	42	82
Italy	60461826	206	294140	148943	47	69
Tanzania	59734218	67	885800	-40076	18	37
South Africa	59308690	49	1213090	145405	28	67
Burma	54409800	83	653290	-163313	29	31
Kenya	53771296	94	569140	-10000	20	28
Korea, South	51269185	527	97230	11731	44	82
Colombia	50882891	46	1109500	204796	31	80
Spain	46754778	94	498800	40000	45	80
Uganda	45741007	229	199810	168694	17	26
Argentina	45195774	17	2736690	4800	32	93
Algeria	43851044	18	2381740	-10000	29	73
Sudan	43849260	25	1765048	-50000	20	35
Ukraine	43733762	75	579320	10000	41	69
Iraq	40222493	93	434320	7834	21	73
Afghanistan	38928346	60	652860	-62920	18	25
Poland	37846611	124	306230	-29395	42	60
Canada	37742154	4	9093510	242032	41	81
Morocco	36910560	83	446300	-51419	30	64
Saudi Arabia	34813871	16	2149690	134979	32	84
Uzbekistan	33469203	79	425400	-8863	28	50
Peru	32971854	26	1280000	99069	31	79
Angola	32866272	26	1246700	6413	17	67
Malaysia	32365999	99	328550	50000	30	78
Mozambique	31255435	40	786380	-5000	18	38
Ghana	31072940	137	227540	-10000	22	57
Yemen	29825964	56	527970	-30000	20	38
Nepal	29136808	203	143350	41710	25	21
Venezuela	28435940	32	882050	-653249	30	N.A.
Madagascar	27691018	48	581795	-1500	20	39
Cameroon	26545863	56	472710	-4800	19	56
Cote d'Ivoire	26378274	83	318000	-8000	19	51
North Korea	25778816	214	120410	-5403	35	63
Australia	25499884	3	7682300	158246	38	86
Niger	24206644	19	1266700	4000	15	17
Taiwan*	23816775	673	35410	30001	42	79
Sri Lanka	21413249	341	62710	-97986	34	18
Burkina Faso	20903273	76	273600	-25000	18	31
Mali	20250833	17	1220190	-40000	16	44
Romania	19237691	84	230170	-73999	43	55
Malawi	19129952	203	94280	-16053	18	18
Chile	19116201	26	743532	111708	35	85
Kazakhstan	18776707	7	2699700	-18000	31	58
Zambia	18383955	25	743390	-8000	18	45
Guatemala	17915568	167	107160	-9215	23	52
Ecuador	17643054	71	248360	36400	28	63
Syria	17500658	95	183630	-427391	26	60
Netherlands	17134872	508	33720	16000	43	92
Senegal	16743927	87	192530	-20000	19	49
Cambodia	16718965	95	176520	-30000	26	24
Chad	16425864	13	1259200	2000	17	23
Somalia	15893222	25	627340	-40000	17	47
Zimbabwe	14862924	38	386850	-116858	19	38
Guinea	13132795	53	245720	-4000	18	39
Rwanda	12952218	525	24670	-9000	20	18
Benin	12123200	108	112760	-2000	19	48
Burundi	11890784	463	25680	2001	17	14
Tunisia	11818619	76	155360	-4000	33	70
Bolivia	11673021	11	1083300	-9504	26	69
Belgium	11589623	383	30280	48000	42	98
Haiti	11402528	414	27560	-35000	24	57
Cuba	11326616	106	106440	-14400	42	78
South Sudan	11193725	18	610952	-174200	19	25
Dominican Republic	10847910	225	48320	-30000	28	85
Czechia	10708981	139	77240	22011	43	74
Greece	10423054	81	128900	-16000	46	85
Jordan	10203134	115	88780	10220	24	91
Portugal	10196709	111	91590	-6000	46	66
Azerbaijan	10139177	123	82658	1200	32	56
Sweden	10099265	25	410340	40000	41	88
Honduras	9904607	89	111890	-6800	24	57
United Arab Emirates	9890402	118	83600	40000	33	86
Hungary	9660351	107	90530	6000	43	72
Tajikistan	9537645	68	139960	-20000	22	27
Belarus	9449323	47	202910	8730	40	79
Austria	9006398	109	82409	65000	43	57
Papua New Guinea	8947024	20	452860	-800	22	13
Serbia	8737371	100	87460	4000	42	56
Israel	8655535	400	21640	10000	30	93
Switzerland	8654622	219	39516	52000	43	74
Togo	8278724	152	54390	-2000	19	43
Sierra Leone	7976983	111	72180	-4200	19	43
Hong Kong	7496981	7140	1050	29308	45	N.A.
Laos	7275560	32	230800	-14704	24	36
Paraguay	7132538	18	397300	-16556	26	62
Bulgaria	6948445	64	108560	-4800	45	76
Libya	6871292	4	1759540	-1999	29	78
Lebanon	6825445	667	10230	-30012	30	78
Nicaragua	6624554	55	120340	-21272	26	57
Kyrgyzstan	6524195	34	191800	-4000	26	36
El Salvador	6486205	313	20720	-40539	28	73
Turkmenistan	6031200	13	469930	-5000	27	53
Singapore	5850342	8358	700	27028	42	N.A.
Denmark	5792202	137	42430	15200	42	88
Finland	5540720	18	303890	14000	43	86
Republic of the Congo	5518087	16	341500	-4000	19	70
Slovakia	5459642	114	48088	1485	41	54
Norway	5421241	15	365268	28000	40	83
Oman	5106626	16	309500	87400	31	87
West Bank and Gaza	5101414	847	6020	-10563	21	80
